source,target
方法,接触 沟通 尝试 位置 第一 更改 直接 观察 平面 尴尬 运行 移动引入 关闭 行动 潜行 人类 慢 表达 到达 意图 想法 步行 体育 谈话 对象 附近 绿色 
批准,同意 办公室 良好 行动 接受 
近似值,估计值 精确 时间 关闭 猜测 
四月,天 四 月 年 傻瓜 三十 日历 
围裙,库克 清洁 脖子 棉 单词 字符串 长 女人 封面 腰 保护 布 厨房 
弧,圆 曲线 动物 船 诺亚 
建筑师,建设 计划 一个 设计 生成 
地区,数学 土地 长度 地理 宽 地方 区域 定位 空间 位置 时间 部分 
竞技场,事件 体育 体育场 娱乐 地方 举行 大 人 
争论,两个 沟通 语音 命中 单词 损失 难过 恐吓 匡威 行动 立场 动词 人类 想法 自愿坏 点 意见 过程 解释 情感 谈话 意味着 暴力 大声 
论点,两个 战斗 更多 同意 人 
正确,正确 修复 确定 答案错误 接受 
手臂,两个 携带 推 选择 肌肉 长 吃 正文 头 弯曲 写 旋转 骨头 休息 扩展肢体 扔 腿部 人类 电源 手指 前臂 坏 到达 拉 头发 手 肩膀 帮助 动物 触摸 支持 对象 强 附录 举 
盔甲,沉重 战斗 银 保护 骑士 中世纪 金属 前 长 正文 封面 发光 磨损 强 
武器,肩膀 两个 肘 武器 人类 附加 肌肉 手指 手 长 正文 部分 皮肤 向上 附件 肢体 
军队,强 战斗 军事 士兵 伪装 之一 国家 集团 枪 战争 保护 人 
香气,芬芳 请 气味 食物 
周围,周围 圆 ​​附近 ​​人 区域 到处 环境 关闭 附近 
到达,来 轮胎 目标 旅行 移动进入 新 法案 平面 时间 目前 行动 目的地不好 移动 人类 出现 到达 集团 欢迎 访问 事件 土地 定位 获取 某个地方 对象 输入 汽车 确认 
傲慢,公鸡 粗鲁 认为 自我 大 
箭头,狩猎 锋利 直接 武器 弓 点 印度 
艺术,美容 舞蹈 颜色 音乐 油漆 绘制 很多 工艺 造型 表达 创建 人 
动脉,船只 携带 血液 静脉 管 正文 心 
朝鲜蓟,水 吃 植物 成分 消费 煮 花卉 库克 性质 人类 果皮 愈合 口味 叶 花园沙拉 紫色 对象 软 心 绿色 
艺术家,油漆 绘制 艺术 创建 行动 人 
上升,天空 来 去 肌肉 平滑 目标 继续 攀爬 低 飞 转到 植物 改进 向着 速度 物理 平面 腿 离开 空气 行动 移动 山 上升 腿部 站立 人类 坐 升高 慢 电梯 物理地方 向上 推进 工作 过程 楼梯 顶部 动物 高 成长 向下 对象 大声 举起 大 
灰,烧伤 火 后 保持 离开 灰色 
ham愧,内gui 尴尬 悲伤 谦虚 后悔 
骨灰,烧伤 火 后 灰尘 保持 离开 灰色 
烟灰缸,污垢 灰 对接 雪茄 气味 烟 塑料 举行 一轮 房子 玻璃 毛 
亚洲,东 受欢迎 国家 世界 大 大陆 
问,通知 两个 沟通 目标 更改 行动 语言 写动词 人类 某事 某人 礼貌 意图 建议 欲望 指南 请求 解释 知道 帮助 朋友 问题 获取 谈 
睡着了,硬 愚蠢 包 厚 沉沉 
芦笋,花园 汤 凹凸 选择 蔬菜 长 吃 薄 健康 野生 库克 好 光滑 令人厌恶 愈合 叶 食品 成长 秸秆 绿色 
沥青,焦油 路 驱动器 铺路 黑色 
阿司匹林,缓解 药物 丸 疼痛 头痛 医学 
屁股,污垢 驴 懒惰 动物 对接 可怜 正文 首页 混蛋 人 
殴打,战斗 性别 物理 强奸 伤害 击败 攻击 向上 
分配,作业 工作 任务 分配 
援助,帮助 需要 支持 援助 人 
助理,组织 帮助 员工 参与 办公室 合作伙伴 业务 相关 工作 人 
假设,教育 信仰 理论 思想 实验 思考 发生 假设 科学 之前 认为 确定 猜测 知道 
小行星,流星 岩 查找 空间 地球 轨道 明星 
占星术,登录 研究 行星 明星 人 
宇航员,火车 旅行 空间 美国国家航空航天局 火箭 月亮 人 
不对称,相同 边 对称 相等 甚至 
运动员,适合 体育 参加 物理 播放 竞争 人 
竞技,体育 强壮 肌肉 播放 形状 
地图集,本书 希腊 地图 显示 世界 
原子,电子 分子 粒子 炸弹 小 原子核 原子 中子 科学 向上 单位 质子 化学 元素 核 爆炸 
附加,胶水 保鲜 加入 一起 连接 
攻击,防御 战斗 物理 伤害 战争 
达到,获得 尝试 扩展 拉伸 抢 手臂 目标 到达 完成 实现 
尝试,成功 尝试 努力 测试 给予 完成 失败 
参加,事件 向上 显示 护理 现在 
出勤,事件 地方 时间 数量 显示 上 现在 人 
注意,通知 看看 焦点 集中注意力 听 
阁楼,以上 地方 阁楼 公寓 房间 屋顶 生成 暗 旧 热 向上 楼梯 顶部 灰尘 区域 高 房子 存储 恐慌 
服装,伪装 服饰 裙子 样式 万圣节 磨损 向上 时尚 布 衣服 
态度,感觉 一个 思考 方式 行为 人 
律师,案例 辩护 好 帮助 法律 学校 捍卫 钱 工作 法院 代表 人 
吸引,专心 绘制 走向 磁铁 欲望 
有吸引力,美容 好 很好 英俊 看 漂亮 
阿姨,叔叔 母亲 妈妈 家庭 爸爸 父亲 姐姐 相关 父母 
澳大利亚,内陆地区 考拉 动物 国家 下 向下 南 袋鼠 悉尼 口音 大陆 
作者,书 故事 创建 工作 写 文章 
权力,其他 法律 权力 铅 结束 专家 收费 人 
自动,自动化 机 汽车 车辆 
秋季,季节 夏季 离开 更改 秋天 
大道,名称 方式 道路 宽 街道 路 大道 城市 路径 
平均,好 等级 数量 正常 中级 
鳄梨,水果 口味 基坑 种子 软 蔬菜 良好 高 吃 鳄梨酱 脂肪 大 绿色 
醒着,打开 睡眠 眼睛 意识到 意识 
奖,奖 奖杯 硬 好 快乐 赢 证书 目前 给予 完成 工作 奖励 实现 
意识到,专心 有意识 来 了解 看到 警报 唤醒 意识到 认为 知道 
意识,知觉 周围 有意识 理解 警报 意识 知道 
远处,远方 附近 超越 在这里 
敬畏,震惊 奇迹 尊重 惊奇 恐惧 
很棒,更好 感觉 启发 开心 很棒 很好 惊奇 很酷 敬畏 
可怕的,坏的 悲伤的 可怕的 请 
尴尬,感觉 羞耻 社会 处境 困难 红色 谦虚 舒适 脸 奇怪 笨拙 
斧头,锋利 金属 强度 破坏 木 长 举行 头 刀片式服务器 大的 沉重 刀 小 休息 木材 伤害 切 购买 使用 树 摆动 森林 杀死 金属的 人类 血液 外 斧头 生存 消防锋利的 危险 武器 手 工具 谋杀 对象 分裂 树手臂 强 大 印章 
轴突,神经 冲动 纤维 部分 单元格 
婴儿,小 尿布 哭了 可爱 年轻 
返回,来 去 后部 地方 目标 正文 前面 带来 直接 后面 离开 行动 移动 人类 布快乐 首页 重复 到达 开始 你好 访问 情感 动物 返回 借贷 定位 请参阅 部分 对象 存储 停止 
脊椎,骨 向上 脊椎 脊柱 立场 
背景,背后 主题 历史 通过 场景 
向后,直接 正向 反向 方式 对面 
培根,油脂 早餐 食品 很好 猪 脂肪 
细菌,疾病 细菌 生物 病 显微镜 
不好,好 更糟 质量 差 邪恶 
徽章,当局 荣誉 身份 磨损 符号 
袋,颜色 东西 大小 携带 纸张 休息 杂货 塑料 举行 材料 存储 使用 手 
百吉饼,早餐 食品 面包 甜甜圈 一轮 形状 
行李,沉重 西装 旅行 项目 携带 空 行李 通过 平面 车轮 包 袋 属于 机场 布 人 
风笛,音乐 乐队 仪器 管 三月 袋 苏格兰 大声 空气 格子 
诱饵,鱼饵 鱼 渔获 吸引 蠕虫 
烤,蛋糕 烤 吃 家庭 更改 说 果汁 方 肉 成分 兔子 面包 行动 制备 风味 库克 电动 上升 烤箱 好 火焰 热 饼干 布朗尼 治愈 食品 良好 高 潘 改进 使 
贝克,库克 一个 蛋糕 面包 烘烤 糕点 
阳台,外部 高 向上 露台 关闭 生成 
球,颜色 硬 体育 投掷 乐趣 播放 反弹 一轮 游戏 
芭蕾舞团,舞蹈 紧身 芭蕾舞短裙 形式 脚趾 
气球,方 颜色 小丑 光 称重 塑料 氦气 热 儿童 浮法 橡胶 大声 空气 噪音 流行音乐 
选票,表决 决定 选举 纸 写 
禁止,拒绝 限制 禁令 法律 防止 禁止 允许 禁忌 取缔 
香蕉,长 吃 薄 丛林 水果 曲线 气味 一轮 树 好 早餐 人类 甜 热带 果皮 黄色 口味 肉增长 猴子 享受 软 绿色 
乐队,音乐 岩 仪器 播放 组 鼓 
创可贴,伤口 嘘 切 封面 绷带 
方巾,手帕 颜色 汗 磨损 头 布 
乐队主持人,音乐 乐队 仪器 铅 行为 
班卓琴,吉他 音乐 乐队 脖子 仪器 播放 字符串 木 声音 一轮 
银行,检查 告诉 保存 贷款 存款 地方 自动取款机 钱 安全 帐户 存储 人 
银行家,告诉 贷款 投资 财政部 钱 银行 工作 手 人 
横幅,登录 事件 颜色 庆祝 纸张 单词 长 广告 塑料 角度 挂 大 消息 
宴会,聚会 方 用餐 餐 食品 盛宴 大 人 
酒吧,酒精 社会 服务 地方 饮料 酒吧 啤酒 人 
野蛮人,公民 野蛮人 残酷 洞穴人 人 
烧烤,库克 外部 火 食品 肉 类型 煤 烧烤 户外 酱汁 
讨价还价,出售 好 项目 保存 查找 廉价 交易 钱 存储 价格 贸易 
树皮,沟通 语音 讨厌的人 嘴里 沥青 愤怒 发出 威胁 警告 参加 狗 声音 创建 噪声 令人讨厌 表达 信号 朋友 儿童 软 大声 恐慌 
大麦,谷物 食品 植物 啤酒 粮食 
谷仓,牛 污垢 干草 由 动物 设备 气味 国家 木材 红色 摊位 阁楼 存储 农场 区 生成 大 
每桶,酒 棕色 乐队 盖 金属 木材 水 一轮 存储 啤酒 大 包含 
屏障,墙 障碍 防止 块 停止 
酒保,酒精 服务 饮料 酒吧 人 
基地,棒球 军事 首页 底部 找到 
棒球,命中 沥青 针 基数 手套 小 联赛 球 播放 时间 一轮 运行 游戏 硬 夏季 红色 白 团队 热 基地 皮革 渔获 蝙蝠 九 体育 首页扔 字段 美国 通过 
地下室,楼梯 熔炉 潮湿 墙 地面 音乐 地板 恐慌 下面 暗 窗口 冷 低 水泥 房子 存储 底部 找到 
害羞,神经 胆小 安静 轻松 打击 尴尬 保留 害羞 惊吓 
基本,轻松 简单 需要 基础 级别 
篮,水果 编织 复活节 野餐 携带 柳条 事物 木 举行 手 
篮球,体育 橙色 球 播放 一轮 箍 法院 
低音,音乐 鱼 声音 低 基音 
蝙蝠,动物 命中 木 板球 飞 
蝙蝠动物,吸血鬼 睡眠 雷达 牙 洞穴 小 动物 尖叫声 导航 向下 翼 盲 飞 毛皮 哺乳动物 恐慌 黑色 夜间 
蝙蝠棒球,体育 金属 球 命中 木 长 秋千 天堂 
浴,肥皂 清洁 水 洗发水 洗 浴缸 温暖 淋浴 放松 泡沫 
浴室,水槽 公共 地方 浴缸 房间 牙齿 人 肥皂 气味 包含 马桶 污垢 私人 纸 瓷砖 清洁 洗 浴 淋浴 房子 镜子 画笔 
浴缸,陶瓷 硬 包含 排水管 水 白色 洗 点击 浴 淋浴 水龙头 举行 浴室 插头 填充 大 泡沫 人 
接力棒,乐队 金属 继电器 竞赛 旋转扭曲 三月 木材 棒 长 啦啦队长 一轮 引发 空气 
营,士兵 军事 陆军 集团 战争 
战场,战斗 死 地方 战 血 
湾,土地 小 水 正文 入口 大 
刺刀,刀 杀死 锋利 长 结束 危险 枪 战争 
火箭筒,杀死 金属 破坏 消防 陆军 危险 武器 战争 枪 大声 大 
海滩,水 地方 海 海岸 沙 
珠,项链 小 一轮 装饰 拖放 珠宝首饰 
喙,锋利 选择 橙色 长 吃 塑料 头 正文休息 保护 狩猎 鼻子 颜色 飞机 硬 鼻孔 黄色 鸟 大小 类型 脸 对象 
梁,光明 光 激光 支持 生成 
豆,花园 汤 肾脏 蔬菜 营养 长 吃 攀爬 气体 植物 黑色 水果 小 一轮 棕色 颜色墨西哥 lima 库克 人类 坏 烘烤 光滑 黄色 毛 可以 愈合 口味 动物 类型 荚 成长 蛋白质 秸秆 绿色 
熊,爪子 木 吃 哺乳动物 毛皮 挂 黑色 人 气味 腿 后代 鱼 可爱 狩猎 棕色 野生 白脚 腿部 人类 四 平均 危险 冬眠 步行 动物园 爪 动物 食品 权利 成长 凶猛 恐慌 大 
胡子,之一 长 成长 脸 头发 
兽,美容 恐吓 动物 怪物 头发 大 
节奏,移动 音乐 赢 命中 节奏 声音 模式 节拍 鼓 
美容师,美容 沙龙 指甲 化妆品 样式 漂亮 向上 化妆 头发 人 
美丽,很好 华丽 可爱 花卉 女孩 漂亮 
美容,好 华丽 出现 吸引 漂亮 
海狸,狩猎 棕色 牙齿 咀嚼 镍 动物 树 木 切 尾巴 哺乳动物 坝 符号 生成 加拿大 人 
因为,解释 事件 通过 原因 借口 时间 之前 之后 为什么 
变成,改变 转变 成长 发展 
床,睡眠 表 家具 大小 毯子 框 性 在 枕头 温暖 舒适 春天 软 床垫 卧室 床头板 晚上 
卧室,墙 床 睡眠 服饰 壁橱 小 窗口 地方 空间 房子 房间 在 人 
蜜蜂,生活 黄色 小 昆虫 花粉 嗡嗡声 花卉 蜂巢 女王 飞 蜂蜜 sting 黑色 
牛肉,牛 肉 食品 
蜂箱,蜜蜂 作为 首页 女王 危险 蜂蜜 黄色 树 
已经,通过 发生 豆 之前 已经 
啤酒,发酵 麦芽 酒精 蛇麻草 饮料 
甲虫,bug 硬 外壳 腿部 小 昆虫 丑 翼 爬行 飞 眼 大 黑色 
甜菜,根 腌菜 花园 地面 沙拉 罗宋汤 作为 红色 蔬菜 污点 成长 吃 紫色 一轮 离开 果汁 
之前,上一个 时间 之前 开始 之后 
乞求,绝望 讨厌的人 可怜 需要 想要 狗 首页 结束 请 钱 问 膝盖 人 
乞g,一个 食品 流浪汉 可怜 首页 钱 问 人 
开始,第一 新 新的 故事 竞赛 测试 结束 开始 完成 
初学者,第一 新 时间 经验 开始 
在后面,侧面 前面 后面 地方 
存在,状态 生活 感觉 参加 人类 存在 在这里 呼吸 真实 人 
信仰,感觉 信仰 意见 教堂 思想 真正 想法 道德 认为 希望 神 宗教 信任 人 
相信,思考 信念 信任 真实 接受 
钟,金属 仪器 环 声音 对象 
属于,感觉 适合 部分 组 接受 
下方,下方 地面 
皮带,布装饰 金属 配件 样式 长 举行 材料 黑色 孔 循环 鞋 裤子 鞭子 一轮 磨损 棕色 颜色 下来 紧身 暗 惩罚 在一起 皮革 时尚 布 周围 大小 类型 支持 汽车 
板凳,颜色 硬 巴士 腿部 金属 休息 四 返回 木材 坐在 公园 长 停止 在 
弯头,窗体 移动 曲线 拉 人类 自 损坏 强度 肌肉 行动 意图 对象 自愿 形状 更改 弯曲 手 
好处,奖金 好 增益 优势 利润 
弯曲,折叠 圆 曲线 诚实 角度 直 弯曲 线 
最好,好 优秀 最 高 伟大 
赌注,赌博 风险 赢 钱 结果 工资 
出卖,说谎 返回 转 信任 忠诚 
更好,好 改善 质量 更多 
当心,登录 警告 狗 危险 护理 恐慌 
超越,远处 通过 上方 离开 超过 
偏见,法官 偏见 偏爱 一个 方式 仇恨 集团 公平 意见 种族 反对 人 
圣经,圣洁 本书 神圣 遗嘱 基督 写 
二头肌,强壮 强度 肌肉 手臂 称重 工作 正文 向上 电梯 大 
大,尺寸 小 高 巨大 脂肪 大 
广告牌,董事会 路 标志 广告 大 
比利,男孩 威廉 名称 山羊 俱乐部 
bin_废物,垃圾 空 小 金属 气味 空心 塑料 举行 一轮 大 
活页夹,折叠 本书 学校 环 纸 举行 
生物学,生活 动物 研究 科学 植物 生物 细胞 
桦木,高峰 使 关 丢失 高 白 成长 纸 离开 树皮 树 秋天 分支机构 森林 
出生,生活 来 新 母亲 婴儿 疼痛 儿童 开始 创建 世界 
生日,方 一天 庆祝 一个 蛋糕 生日 年 出生 年龄 
饼干,汤 嘎吱咬嚼 吃 黄油 小吃 茶 小 面粉 一轮 奶酪 紧缩 好 一个 盐 烘烤 饼干 裂纹 鞭炮 口味 食品 酥 治疗 
野牛,狩猎 棕色 大 旅行 水牛 动物 放牧 吃 危险 毛皮 哺乳动物 本机 人 
位,件 嘴 金属 小 部分 金额 钻 马 
母狗,狗 女人 粗鲁 女孩 女性 人 
咬,狗 吃 疼痛 食物 牙齿 
苦涩,酸 甜 苛刻 味道 愤怒 
奇异的,怪异的 普通 狂热 通常 不同 奇怪的 奇数 
黑色,教 颜色 绿色 暗 清洁 学习 学校 灰尘 上 粉笔 白 教室 黑色 写 大 晚上 人 
黑bird,唱歌 羽毛 chi 动物 巢 铺设 吃 翼 飞 鸡蛋 鸟 喙 生成 黑色 蠕虫 
黑板上,教 类 教学 绿色 灰尘 学校 董事会 擦除 课堂 写 黑色 粉笔 
刀片,工具 刀 锋利 边缘 金属 切 剑 剃刀 
怪,内gui 故障 指责 回应 人 
毯子,床 睡眠 柔软 温暖 舒适 封面 
漂白剂,颜色 化工 清洁 洗衣服 金发 污点 白 布 
出血,打开 死亡 正文 自愿 血 释放 发出 刀 恐吓 刮擦 皮肤手指 物理 休息 伤害 切 行动 动词 鼻子 生活 伤口 人类 退出 红色 丢失 控制 过程 帮助 动物 混乱 暴力 请 离开 停止 
混合,两个 食品二 饮料 液体 一起 成分 不同 组合 物质 化学 使用 行动 作用 包含 移动 聚集 颜色 库克 好 结合 人类 在一起 光滑 意图 集团 混合 手 周围 事件 搅拌 类型 机 大声 使 厨房 
搅拌机,蛋糕 饮料 奶昔 塑料 液体 碗 切 玻璃 刀片 包含 电动 电子 库克 混合 电器 食品 大声 使 厨房 印章 
祝福,说 圣洁 祈祷 打喷嚏 神 宗教 
百叶窗,阴影 光 窗口 太阳 块 
眨眼,打开 手势 微笑 沟通 学习 肌肉 电影 轮胎 目的 自愿 闪存 快速 直接 眨眼 困难 轻松 封面 眼睑 可爱 眼关闭 保护 常数 行动 移动 性质 人类 一个 慢 正文疼痛 认识 眼 突然 笑 秘密 调情 反射 信号 问题 灰尘 朋友 脸 临时 
块,停止 件 广场 小 木材 防止 街 材料 玩具 混凝土 儿童 角度 部分 生成 大 
金发女郎,颜色 光 女孩 哑 黄色 头发 人 
血液,生活 通过 类型 静脉 红色 正文 细胞 氧气 
盛开,美容 打开 成长 春天 植物 花卉 
污点,污垢 颜色 现货 斑点 污点 轻拍 标记 墨水 布 
